liturgical_date,calendar_date,first_reading,psalm_reading,second_reading,gospel_reading
First Sunday of Advent,2022-11-27,Isaiah 2:1-5,Psalm 122,Romans 13:11-14,Matthew 24:36-44
Second Sunday of Advent,2022-12-04,Isaiah 11:1-10,Psalm 72:1-7; 18-19,Romans 15:4-13,Matthew 3:1-12
Third Sunday of Advent,2022-12-11,Isaiah 35:1-10,Psalm 146:5-10 or Luke 1:46b-55,James 5:7-10,Matthew 11:2-11
Fourth Sunday of Advent,2022-12-18,Isaiah 7:10-16,Psalm 80:1-7; 17-19,Romans 1:1-7,Matthew 1:18-25
Nativity of the Lord - Proper I,2022-12-24,Isaiah 9:2-7,Psalm 96,Titus 2:11-14,Luke 2:1-14; (15-20)
Nativity of the Lord - Proper II,2022-12-24,Isaiah 62:6-12,Psalm 97,Titus 3:4-7,Luke 2:(1-7); 8-20
Nativity of the Lord - Proper III,2022-12-24,Isaiah 52:7-10,Psalm 98,Hebrews 1:1-4; (5-12),John 1:1-14
First Sunday after Christmas Day,2023-01-01,Isaiah 63:7-9,Psalm 148,Hebrews 2:10-18,Matthew 2:13-23
Holy Name of Jesus,2023-01-01,Numbers 6:22-27,Psalm 8,Galatians 4:4-7 or Philippians 2:5-11,Luke 2:15-21
New Year's Day,2023-01-01,Ecclesiastes 3:1-13,Psalm 8,Revelation 21:1-6a,Matthew 25:31-46
Epiphany of the Lord,2023-01-06,Isaiah 60:1-6,Psalm 72:1-7; 10-14,Ephesians 3:1-12,Matthew 2:1-12
Baptism of the Lord,2023-01-08,Isaiah 42:1-9,Psalm 29,Acts 10:34-43,Matthew 3:13-17
Second Sunday after the Epiphany,2023-01-15,Isaiah 49:1-7,Psalm 40:1-11,1 Corinthians 1:1-9,John 1:29-42
Third Sunday after the Epiphany,2023-01-22,Isaiah 9:1-4,Psalm 27:1; 4-9,1 Corinthians 1:10-18,Matthew 4:12-23
Fourth Sunday after the Epiphany,2023-01-29,Micah 6:1-8,Psalm 15,1 Corinthians 1:18-31,Matthew 5:1-12
Presentation of the Lord,2023-02-02,Malachi 3:1-4,Psalm 84 or Psalm 24:7-10,Hebrews 2:14-18,Luke 2:22-40
Fifth Sunday after the Epiphany,2023-02-05,Isaiah 58:1-9a (9b-12),Psalm 112:1-9 (10),1 Corinthians 2:1-12 (13-16),Matthew 5:13-20
Sixth Sunday after the Epiphany,2023-02-12,Deuteronomy 30:15-20 or Sirach 15:15-20,Psalm 119:1-8,1 Corinthians 3:1-9,Matthew 5:21-37
Transfiguration Sunday,2023-02-19,Exodus 24:12-18,Psalm 2 or Psalm 99,2 Peter 1:16-21,Matthew 17:1-9
Ash Wednesday,2023-02-22,Joel 2:1-2; 12-17 or Isaiah 58:1-12,Psalm 51:1-17,2 Corinthians 5:20b-6:10,Matthew 6:1-6; 16-21
First Sunday in Lent,2023-02-26,Genesis 2:15-17; 3:1-7,Psalm 32,Romans 5:12-19,Matthew 4:1-11
Second Sunday in Lent,2023-03-05,Genesis 12:1-4a,Psalm 121,Romans 4:1-5; 13-17,John 3:1-17 or Matthew 17:1-9
Third Sunday in Lent,2023-03-12,Exodus 17:1-7,Psalm 95,Romans 5:1-11,John 4:5-42
Fourth Sunday in Lent,2023-03-19,1 Samuel 16:1-13,Psalm 23,Ephesians 5:8-14,John 9:1-41
Annunciation of the Lord ,2023-03-25,Isaiah 7:10-14,Psalm 45 or Psalm 40:5-10,Hebrews 10:4-10,Luke 1:26-38
Fifth Sunday in Lent,2023-03-26,Ezekiel 37:1-14,Psalm 130,Romans 8:6-11,John 11:1-45
Liturgy of the Palms,2023-04-02,,Psalm 118:1-2; 19-29,Matthew 21:1-11,
Liturgy of the Passion,2023-04-02,Isaiah 50:4-9a,Psalm 31:9-16,Philippians 2:5-11,Matthew 26:14-27:66 or Matthew 27:11-54
Monday of Holy Week,2023-04-03,Isaiah 42:1-9,Psalm 36:5-11,Hebrews 9:11-15,John 12:1-11
Tuesday of Holy Week,2023-04-04,Isaiah 49:1-7,Psalm 71:1-14,1 Corinthians 1:18-31,John 12:20-36
Wednesday of Holy Week,2023-04-05,Isaiah 50:4-9a,Psalm 70,Hebrews 12:1-3,John 13:21-32
Maundy Thursday,2023-04-06,Exodus 12:1-4; (5-10); 11-14,Psalm 116:1-2; 12-19,1 Corinthians 11:23-26,John 13:1-17; 31b-35
Good Friday,2023-04-07,Isaiah 52:13-53:12,Psalm 22,Hebrews 10:16-25 or Hebrews 4:14-16; 5:7-9,John 18:1-19:42
Holy Saturday,2023-04-08,Job 14:1-14 or Lamentations 3:1-9; 19-24,Psalm 31:1-4; 15-16,1 Peter 4:1-8,Matthew 27:57-66 or John 19:38-42
Easter Vigil,2023-04-09,Genesis 1:1-2:4a and Psalm 136:1-9; 23-26 / Genesis 7:1-5; 11-18; 8:6-18; 9:8-13 and Psalm 46 / Genesis 22:1-18 and Psalm 16 / Exodus 14:10-31; 15:20-21 and Exodus 15:1b-13; 17-18 / Isaiah 55:1-11 and Isaiah 12:2-6 / Baruch 3:9-15; 3:32-4:4 or Proverbs 8:1-8; 19-21; 9:4b-6 and Psalm 19 / Ezekiel 36:24-28 and Psalm 42; 43 / Ezekiel 37:1-14 and Psalm 143 / Zephaniah 3:14-20 and Psalm 98,,Romans 6:3-11 and Psalm 114,Matthew 28:1-10
