liturgical_date,calendar_date,first_reading,psalm_reading,second_reading,gospel_reading
First Sunday of Advent,2021-11-28,Jeremiah 33:14-16,Psalm 25:1-10,1 Thessalonians 3:9-13,Luke 21:25-36
Second Sunday of Advent,2021-12-05,Baruch 5:1-9 or Malachi 3:1-4,Luke 1:68-79,Philippians 1:3-11,Luke 3:1-6
Third Sunday of Advent,2021-12-12,Zephaniah 3:14-20,Isaiah 12:2-6,Philippians 4:4-7,Luke 3:7-18
Fourth Sunday of Advent,2021-12-19,Micah 5:2-5a,Luke 1:46b-55 or Psalm 80:1-7,Hebrews 10:5-10,Luke 1:39-45; (46-55)
Nativity of the Lord - Proper I,2021-12-24,Isaiah 9:2-7,Psalm 96,Titus 2:11-14,Luke 2:1-14; (15-20)
Nativity of the Lord - Proper II,2021-12-24,Isaiah 62:6-12,Psalm 97,Titus 3:4-7,Luke 2:(1-7); 8-20
Nativity of the Lord - Proper III,2021-12-24,Isaiah 52:7-10,Psalm 98,Hebrews 1:1-4; (5-12),John 1:1-14
First Sunday after Christmas Day,2021-12-26,1 Samuel 2:18-20; 26,Psalm 148,Colossians 3:12-17,Luke 2:41-52
Holy Name of Jesus,2022-01-01,Numbers 6:22-27,Psalm 8,Galatians 4:4-7 or Philippians 2:5-11,Luke 2:15-21
New Year's Day,2022-01-01,Ecclesiastes 3:1-13,Psalm 8,Revelation 21:1-6a,Matthew 25:31-46
Second Sunday after Christmas Day,2022-01-02,Jeremiah 31:7-14 or Sirach 24:1-12,Psalm 147:12-20 or Wisdom of Solomon 10:15-21,Ephesians 1:3-14,John 1:(1-9); 10-18
Epiphany of the Lord,2022-01-06,Isaiah 60:1-6,Psalm 72:1-7; 10-14,Ephesians 3:1-12,Matthew 2:1-12
Baptism of the Lord,2022-01-09,Isaiah 43:1-7,Psalm 29,Acts 8:14-17,Luke 3:15-17; 21-22
Second Sunday after the Epiphany,2022-01-16,Isaiah 62:1-5,Psalm 36:5-10,1 Corinthians 12:1-11,John 2:1-11
Third Sunday after the Epiphany,2022-01-23,Nehemiah 8:1-3; 5-6; 8-10,Psalm 19,1 Corinthians 12:12-31a,Luke 4:14-21
Fourth Sunday after the Epiphany,2022-01-30,Jeremiah 1:4-10,Psalm 71:1-6,1 Corinthians 13:1-13,Luke 4:21-30
Presentation of the Lord,2022-02-02,Malachi 3:1-4,Psalm 84 or Psalm 24:7-10,Hebrews 2:14-18,Luke 2:22-40
Fifth Sunday after the Epiphany,2022-02-06,Isaiah 6:1-8; (9-13),Psalm 138,1 Corinthians 15:1-11,Luke 5:1-11
Sixth Sunday after the Epiphany,2022-02-13,Jeremiah 17:5-10,Psalm 1,1 Corinthians 15:12-20,Luke 6:17-26
Seventh Sunday after the Epiphany,2022-02-20,Genesis 45:3-11; 15,Psalm 37:1-11; 39-40,1 Corinthians 15:35-38; 42-50,Luke 6:27-38
Transfiguration Sunday,2022-02-27,Exodus 34:29-35,Psalm 99,2 Corinthians 3:12-4:2,Luke 9:28-36; (37-43a)
Ash Wednesday,2022-03-02,Joel 2:1-2; 12-17 or Isaiah 58:1-12,Psalm 51:1-17,2 Corinthians 5:20b-6:10,Matthew 6:1-6; 16-21
First Sunday in Lent,2022-03-06,Deuteronomy 26:1-11,Psalm 91:1-2; 9-16,Romans 10:8b-13,Luke 4:1-13
Second Sunday in Lent,2022-03-13,Genesis 15:1-12; 17-18,Psalm 27,Philippians 3:17-4:1,Luke 13:31-35 or Luke 9:28-36; (37-43a)
Third Sunday in Lent,2022-03-20,Isaiah 55:1-9,Psalm 63:1-8,1 Corinthians 10:1-13,Luke 13:1-9
Annunciation of the Lord,2022-03-25,Isaiah 7:10-14,Psalm 45 or Psalm 40:5-10,Hebrews 10:4-10,Luke 1:26-38
Fourth Sunday in Lent,2022-03-27,Joshua 5:9-12,Psalm 32,2 Corinthians 5:16-21,Luke 15:1-3; 11b-32
Fifth Sunday in Lent,2022-04-03,Isaiah 43:16-21,Psalm 126,Philippians 3:4b-14,John 12:1-8
Liturgy of the Palms,2022-04-10,,Psalm 118:1-2; 19-29,,Luke 19:28-40
Liturgy of the Passion,2022-04-10,Isaiah 50:4-9a,Psalm 31:9-16,Philippians 2:5-11,Luke 22:14-23:56 or Luke 23:1-49
Monday of Holy Week,2022-04-11,Isaiah 42:1-9,Psalm 36:5-11,Hebrews 9:11-15,John 12:1-11
Tuesday of Holy Week,2022-04-12,Isaiah 49:1-7,Psalm 71:1-14,1 Corinthians 1:18-31,John 12:20-36
Wednesday of Holy Week,2022-04-13,Isaiah 50:4-9a,Psalm 70,Hebrews 12:1-3,John 13:21-32
Maundy Thursday,2022-04-14,Exodus 12:1-4; (5-10); 11-14,Psalm 116:1-2; 12-19,1 Corinthians 11:23-26,John 13:1-17; 31b-35
Good Friday,2022-04-15,Isaiah 52:13-53:12,Psalm 22,Hebrews 10:16-25 or Hebrews 4:14-16;  5:7-9,John 18:1-19:42
Holy Saturday,2022-04-16,Job 14:1-14 or Lamentations 3:1-9; 19-24,Psalm 31:1-4; 15-16,1 Peter 4:1-8,Matthew 27:57-66 or John 19:38-42
Easter Vigil,2022-04-17,Genesis 1:1-2:4a and Psalm 136:1-9; 23-26 / Genesis 7:1-5; 11-18; 8:6-18; 9:8-13 and Psalm 46 / Genesis 22:1-18 and Psalm 16 / Exodus 14:10-31; 15:20-21 and Exodus 15:1b-13; 17-18 / Isaiah 55:1-11 and Isaiah 12:2-6 / Baruch 3:9-15; 3:32-4:4 or Proverbs 8:1-8; 19-21; 9:4b-6 and Psalm 19 / Ezekiel 36:24-28 and Psalm 42; 43 / Ezekiel 37:1-14 and Psalm 143 / Zephaniah 3:14-20 and Psalm 98,,Romans 6:3-11 and Psalm 114,Luke 24:1-12
Resurrection of the Lord,2022-04-17,Acts 10:34-43 or Isaiah 65:17-25,Psalm 118:1-2; 14-24,1 Corinthians 15:19-26 or Acts 10:34-43,John 20:1-18 or Luke 24:1-12
Easter Evening,2022-04-17,Isaiah 25:6-9,Psalm 114,1 Corinthians 5:6b-8,Luke 24:13-49
Second Sunday of Easter,2022-04-24,Acts 5:27-32,Psalm 118:14-29 or Psalm 150,Revelation 1:4-8,John 20:19-31
Third Sunday of Easter,2022-05-01,Acts 9:1-6; (7-20),Psalm 30,Revelation 5:11-14,John 21:1-19
Fourth Sunday of Easter,2022-05-08,Acts 9:36-43,Psalm 23,Revelation 7:9-17,John 10:22-30
Fifth Sunday of Easter,2022-05-15,Acts 11:1-18,Psalm 148,Revelation 21:1-6,John 13:31-35
Sixth Sunday of Easter,2022-05-22,Acts 16:9-15,Psalm 67,Revelation 21:10; 22-22:5,John 14:23-29 or John 5:1-9
Ascension of the Lord,2022-05-26,Acts 1:1-11,Psalm 47 or Psalm 93,Ephesians 1:15-23,Luke 24:44-53
Seventh Sunday of Easter,2022-05-29,Acts 16:16-34,Psalm 97,Revelation 22:12-14; 16-17; 20-21,John 17:20-26
Visitation of Mary to Elizabeth,2022-05-31,1 Samuel 2:1-10,Psalm 113,Romans 12:9-16b,Luke 1:39-57
Day of Pentecost,2022-06-05,Acts 2:1-21 or Genesis 11:1-9,Psalm 104:24-34; 35b,Romans 8:14-17 or Acts 2:1-21,John 14:8-17; (25-27)
Trinity Sunday,2022-06-12,Proverbs 8:1-4; 22-31 and Psalm 8,,Romans 5:1-5,John 16:12-15
Proper 7 (12),2022-06-19,1 Kings 19:1-4; (5-7); 8-15a and Psalm 42 and 43,Isaiah 65:1-9 and Psalm 22:19-28,Galatians 3:23-29,Luke 8:26-39
Proper 8 (13),2022-06-26,2 Kings 2:1-2; 6-14 and Psalm 77:1-2; 11-20,1 Kings 19:15-16; 19-21 and Psalm 16,Galatians 5:1; 13-25,Luke 9:51-62
Proper 9 (14),2022-07-03,2 Kings 5:1-14 and Psalm 30,Isaiah 66:10-14 and Psalm 66:1-9,Galatians 6:(1-6); 7-16,Luke 10:1-11; 16-20
Proper 10 (15),2022-07-10,Amos 7:7-17 and Psalm 82,Deuteronomy 30:9-14 and Psalm 25:1-10,Colossians 1:1-14,Luke 10:25-37
Proper 11 (16),2022-07-17,Amos 8:1-12 and Psalm 52,Genesis 18:1-10a and Psalm 15,Colossians 1:15-28,Luke 10:38-42
Proper 12 (17),2022-07-24,Hosea 1:2-10 and Psalm 85,Genesis 18:20-32 and Psalm 138,Colossians 2:6-15; (16-19),Luke 11:1-13
Proper 13 (18),2022-07-31,Hosea 11:1-11 and Psalm 107:1-9; 43,Ecclesiastes 1:2; 12-14; 2:18-23 and Psalm 49:1-12,Colossians 3:1-11,Luke 12:13-21
Proper 14 (19),2022-08-07,Isaiah 1:1; 10-20 and Psalm 50:1-8; 22-23,Genesis 15:1-6 and Psalm 33:12-22,Hebrews 11:1-3; 8-16,Luke 12:32-40
Proper 15 (20),2022-08-14,Isaiah 5:1-7 and Psalm 80:1-2; 8-19,Jeremiah 23:23-29 and Psalm 82,Hebrews 11:29-12:2,Luke 12:49-56
Proper 16 (21),2022-08-21,Jeremiah 1:4-10 and Psalm 71:1-6,Isaiah 58:9b-14 and Psalm 103:1-8,Hebrews 12:18-29,Luke 13:10-17
Proper 17 (22),2022-08-28,Jeremiah 2:4-13 and Psalm 81:1; 10-16,Sirach 10:12-18 or Proverbs 25:6-7 and Psalm 112,Hebrews 13:1-8; 15-16,Luke 14:1; 7-14
Proper 18 (23),2022-09-04,Jeremiah 18:1-11 and Psalm 139:1-6; 13-18,Deuteronomy 30:15-20 and Psalm 1,Philemon 1:1-21,Luke 14:25-33
Proper 19 (24),2022-09-11,Jeremiah 4:11-12; 22-28 and Psalm 14,Exodus 32:7-14 and Psalm 51:1-10,1 Timothy 1:12-17,Luke 15:1-10
Holy Cross,2022-09-14,Numbers 21:4b-9 and Psalm 98:1-5 or Psalm 78:1-2; 34-38,,1 Corinthians 1:18-24,John 3:13-17
Proper 20 (25),2022-09-18,Jeremiah 8:18-9:1 and Psalm 79:1-9,Amos 8:4-7 and Psalm 113,1 Timothy 2:1-7,Luke 16:1-13
Proper 21 (26),2022-09-25,Jeremiah 32:1-3a; 6-15 and Psalm 91:1-6; 14-16,Amos 6:1a; 4-7 and Psalm 146,1 Timothy 6:6-19,Luke 16:19-31
Proper 22 (27),2022-10-02,Lamentations 1:1-6 and Lamentations 3:19-26 or Psalm 137,Habakkuk 1:1-4; 2:1-4 and Psalm 37:1-9,2 Timothy 1:1-14,Luke 17:5-10
Proper 23 (28),2022-10-09,Jeremiah 29:1; 4-7 and Psalm 66:1-12,2 Kings 5:1-3; 7-15c and Psalm 111,2 Timothy 2:8-15,Luke 17:11-19
Canadian Thanksgiving Day,2022-10-10,Deuteronomy 26:1-11 and Psalm 100,,Philippians 4:4-9,John 6:25-35
Proper 24 (29),2022-10-16,Jeremiah 31:27-34 and Psalm 119:97-104,Genesis 32:22-31 and Psalm 121,2 Timothy 3:14-4:5,Luke 18:1-8
Proper 25 (30),2022-10-23,Joel 2:23-32 and Psalm 65,Sirach 35:12-17 or Jeremiah 14:7-10; 19-22 and Psalm 84:1-7,2 Timothy 4:6-8; 16-18,Luke 18:9-14
Proper 26 (31),2022-10-30,Habakkuk 1:1-4; 2:1-4 and Psalm 119:137-144,Isaiah 1:10-18 and Psalm 32:1-7,2 Thessalonians 1:1-4; 11-12,Luke 19:1-10
All Saints Day,2022-11-01,Daniel 7:1-3; 15-18 and Psalm 149,,Ephesians 1:11-23,Luke 6:20-31
Proper 27 (32),2022-11-06,Haggai 1:15b-2:9 and Psalm 145:1-5; 17-21 or Psalm 98,Job 19:23-27a and Psalm 17:1-9,2 Thessalonians 2:1-5; 13-17,Luke 20:27-38
Proper 28 (33),2022-11-13,Isaiah 65:17-25 and Isaiah 12,Malachi 4:1-2a and Psalm 98,2 Thessalonians 3:6-13,Luke 21:5-19
Reign of Christ - Proper 29 (34),2022-11-20,Jeremiah 23:1-6 and Luke 1:68-79,Jeremiah 23:1-6 and Psalm 46,Colossians 1:11-20,Luke 23:33-43
Thanksgiving Day; USA,2022-11-24,Deuteronomy 26:1-11 and Psalm 100,,Philippians 4:4-9,John 6:25-35
Proper 27 (32),2022-11-06,Haggai 1:15b-2:9 and Psalm 145:1-5; 17-21 or Psalm 98,Job 19:23-27a and Psalm 17:1-9,2 Thessalonians 2:1-5; 13-17,Luke 20:27-38
Proper 28 (33),2022-11-13,Isaiah 65:17-25 and Isaiah 12,Malachi 4:1-2a and Psalm 98,2 Thessalonians 3:6-13,Luke 21:5-19
Reign of Christ - Proper 29 (34),2022-11-20,Jeremiah 23:1-6 and Luke 1:68-79,Jeremiah 23:1-6 and Psalm 46,Colossians 1:11-20,Luke 23:33-43
Thanksgiving Day; USA,2022-11-24,Deuteronomy 26:1-11 and Psalm 100,,Philippians 4:4-9,John 6:25-35
